DATE,MEAS
17:41:45.000,123
17:41:45.500,56
17:41:46.000,305
17:41:46.500,59
17:41:47.000,3
17:41:47.500,11
17:41:48.000,19
17:41:48.500,26
17:41:49.000,94
17:41:49.500,84
17:41:50.000,82
17:41:50.500,21
17:41:51.000,53
17:41:51.500,23
17:41:52.000,9
17:41:52.500,9
17:41:53.000,65
17:41:53.500,231
17:41:54.000,278
17:41:54.500,170
17:41:55.000,24
17:41:55.500,6
17:41:56.000,11
17:41:56.500,50
17:41:57.000,195
17:41:57.500,230
17:41:58.000,90
17:41:58.500,27
17:41:59.000,11
17:41:59.500,7
17:42:00.000,4
17:42:00.500,6
17:42:01.000,11
17:42:01.500,8
17:42:02.000,23
17:42:02.500,18
17:42:03.000,20
17:42:03.500,17
17:42:04.000,13
17:42:04.500,17
17:42:05.000,40
17:42:05.500,97
17:42:06.000,68
17:42:06.500,11
17:42:07.000,7
17:42:07.500,8
17:42:08.000,13
17:42:08.500,14
17:42:09.000,34
17:42:09.500,57
17:42:10.000,19
17:42:10.500,16
17:42:11.000,9
17:42:11.500,10
17:42:12.000,15
17:42:12.500,24
17:42:13.000,32
17:42:13.500,41
17:42:14.000,34
17:42:14.500,24
17:42:15.000,11
17:42:15.500,5
17:42:16.000,4
17:42:16.500,37
17:42:17.000,102
17:42:17.500,91
17:42:18.000,576
17:42:18.500,712
17:42:19.000,91
17:42:19.500,96
17:42:20.000,41
17:42:20.500,31
17:42:21.000,28
17:42:21.500,41
17:42:22.000,229
17:42:22.500,530
17:42:23.000,157
17:42:23.500,16
17:42:24.000,33
17:42:24.500,32
17:42:25.000,18
17:42:25.500,21
17:42:26.000,23
17:42:26.500,139
17:42:27.000,123
17:42:27.500,45
17:42:28.000,14
17:42:28.500,17
17:42:29.000,12
17:42:29.500,26
17:42:30.000,47
17:42:30.500,59
17:42:31.000,16
17:42:31.500,13
17:42:32.000,22
17:42:32.500,186
17:42:33.000,431
17:42:33.500,343
17:42:34.000,114
17:42:34.500,21
17:42:35.000,12
17:42:35.500,3
17:42:36.000,6
17:42:36.500,14
17:42:37.000,16
17:42:37.500,459
17:42:38.000,990
17:42:38.500,1000
17:42:39.000,197
17:42:39.500,14
17:42:40.000,14
17:42:40.500,15
17:42:41.000,146
17:42:41.500,687
17:42:42.000,627
17:42:42.500,280
17:42:43.000,20
17:42:43.500,12
17:42:44.000,25
17:42:44.500,261
17:42:45.000,310
17:42:45.500,71
17:42:46.000,60
17:42:46.500,22
17:42:47.000,23
17:42:47.500,16
17:42:48.000,235
17:42:48.500,421
17:42:49.000,289
17:42:49.500,64
17:42:50.000,14
17:42:50.500,8
17:42:51.000,17
17:42:51.500,157
17:42:52.000,258
17:42:52.500,85
17:42:53.000,24
17:42:53.500,17
17:42:54.000,23
17:42:54.500,152
17:42:55.000,111
17:42:55.500,177
17:42:56.000,111
17:42:56.500,29
17:42:57.000,9
17:42:57.500,12
17:42:58.000,10
17:42:58.500,5
17:42:59.000,9
17:42:59.500,6
17:43:00.000,8
17:43:00.500,13
17:43:01.000,9
17:43:01.500,12
17:43:02.000,58
17:43:02.500,17
17:43:03.000,23
17:43:03.500,32
17:43:04.000,15
17:43:04.500,17
17:43:05.000,16
17:43:05.500,15
17:43:06.000,59
17:43:06.500,37
17:43:07.000,14
17:43:07.500,18
17:43:08.000,19
17:43:08.500,22
17:43:09.000,52
17:43:09.500,23
17:43:10.000,9
17:43:10.500,9
17:43:11.000,11
17:43:11.500,14
17:43:12.000,10
17:43:12.500,33
17:43:13.000,49
17:43:13.500,17
17:43:14.000,22
17:43:14.500,21
17:43:15.000,15
17:43:15.500,24
17:43:16.000,32
17:43:16.500,30
17:43:17.000,16
17:43:17.500,13
17:43:18.000,18
17:43:18.500,31
17:43:19.000,40
17:43:19.500,40
17:43:20.000,41
17:43:20.500,34
17:43:21.000,23
17:43:21.500,12
17:43:22.000,28
17:43:22.500,38
17:43:23.000,10
17:43:23.500,15
17:43:24.000,23
17:43:24.500,24
17:43:25.000,34
17:43:25.500,288
17:43:26.000,331
17:43:26.500,59
17:43:27.000,17
17:43:27.500,29
17:43:28.000,134
17:43:28.500,93
17:43:29.000,245
17:43:29.500,77
17:43:30.000,39
17:43:30.500,23
17:43:31.000,20
17:43:31.500,23
17:43:32.000,20
17:43:32.500,19
17:43:33.000,14
17:43:33.500,16
17:43:34.000,30
17:43:34.500,23
17:43:35.000,21
17:43:35.500,15
17:43:36.000,45
17:43:36.500,43
17:43:37.000,26
17:43:37.500,18
17:43:38.000,101
17:43:38.500,72
17:43:39.000,67
17:43:39.500,39
17:43:40.000,28
17:43:40.500,52
17:43:41.000,49
17:43:41.500,56
17:43:42.000,93
17:43:42.500,70
17:43:43.000,33
17:43:43.500,38
17:43:44.000,52
17:43:44.500,26
17:43:45.000,17
17:43:45.500,51
17:43:46.000,65
17:43:46.500,27
17:43:47.000,28
17:43:47.500,37
17:43:48.000,48
17:43:48.500,65
17:43:49.000,50
17:43:49.500,17
17:43:50.000,20
17:43:50.500,19
17:43:51.000,29
17:43:51.500,80
17:43:52.000,55
17:43:52.500,21
17:43:53.000,14
17:43:53.500,28
17:43:54.000,91
17:43:54.500,77
17:43:55.000,18
17:43:55.500,16
17:43:56.000,16
17:43:56.500,20
17:43:57.000,38
17:43:57.500,45
17:43:58.000,19
17:43:58.500,6
17:43:59.000,9
17:43:59.500,20
17:44:00.000,28
17:44:00.500,37
17:44:01.000,34
17:44:01.500,105
17:44:02.000,138
17:44:02.500,35
17:44:03.000,19
17:44:03.500,16
17:44:04.000,13
17:44:04.500,58
17:44:05.000,108
17:44:05.500,12
17:44:06.000,2
17:44:06.500,23
17:44:07.000,30
17:44:07.500,51
17:44:08.000,53
17:44:08.500,17
17:44:09.000,2
17:44:09.500,14
17:44:10.000,32
17:44:10.500,31
17:44:11.000,93
17:44:11.500,31
17:44:12.000,19
17:44:12.500,28
17:44:13.000,404
17:44:13.500,958
17:44:14.000,967
17:44:14.500,148
17:44:15.000,21
17:44:15.500,16
17:44:16.000,525
17:44:16.500,876
17:44:17.000,192
17:44:17.500,19
17:44:18.000,19
17:44:18.500,73
17:44:19.000,697
17:44:19.500,547
17:44:20.000,269
17:44:20.500,35
17:44:21.000,11
17:44:21.500,41
17:44:22.000,224
17:44:22.500,233
17:44:23.000,41
17:44:23.500,13
17:44:24.000,12
